Image-name-unique,AccumbensArea,Insula,Amygdala,Caudate,Hippocampus,Pallidum,Putamen,Thalamus,FrontalLobe,ParietalLobe,TemporalLobe,OccipitalLobe,Cingulate
CorticalSubtypeStage17,1.04306,1.00135,1.45253,0.00844,1.96979,0.05185,1.33653,0.08702,1.53561,2.70931,2.83355,1.91508,1.05588
CorticalSubtypeStage18,1.0772,1.0046,1.63704,0.01572,1.99259,0.1275,1.48696,0.14346,1.69448,2.82878,2.91726,1.95879,1.11562
CorticalSubtypeStage19,1.15784,1.01304,1.77235,0.04171,2.01356,0.2535,1.65088,0.22108,1.81147,2.90748,2.96684,1.98125,1.209
CorticalSubtypeStage20,1.26703,1.02937,1.90078,0.08286,2.04063,0.46147,1.75669,0.32375,1.88957,2.95528,2.98559,1.99321,1.31377
CorticalSubtypeStage21,1.40325,1.06324,2.00407,0.15208,2.09044,0.68455,1.83337,0.45042,1.9304,2.97819,2.99197,1.99809,1.41993
CorticalSubtypeStage22,1.53722,1.10598,2.10507,0.24273,2.17159,0.89262,1.87895,0.57323,1.95897,2.98931,2.99755,1.99914,1.54764
CorticalSubtypeStage23,1.68001,1.15331,2.22908,0.33074,2.27646,1.08239,1.9066,0.68711,1.97621,2.99391,2.99934,2,1.68484
CorticalSubtypeStage24,1.80582,1.21253,2.36039,0.4298,2.38132,1.25046,1.92787,0.82201,1.98376,2.99586,2.99971,2,1.83047
CorticalSubtypeStage25,1.93177,1.27552,2.4889,0.51737,2.49105,1.40567,1.94475,0.96797,1.9918,2.99791,3,2,1.98729
CorticalSubtypeStage26,2.07998,1.36152,2.6017,0.59676,2.59954,1.53603,1.95663,1.10821,1.99827,2.99856,3,2,2.1628
CorticalSubtypeStage27,2.2358,1.46774,2.70637,0.6842,2.70099,1.64509,1.96519,1.25905,1.99982,2.99897,3,2,2.33678
CorticalSubtypeStage28,2.42428,1.58528,2.79313,0.759,2.78619,1.74945,1.97446,1.41508,2,2.99915,3,2,2.51398
CorticalSubtypeStage29,2.62749,1.71024,2.859,0.83867,2.85952,1.84333,1.98278,1.59461,2,2.99969,3,2,2.68467
CorticalSubtypeStage30,2.81952,1.84275,2.93391,0.91077,2.93432,1.92134,1.9898,1.7972,2,3,3,2,2.85039
CorticalSubtypeStage31,3,2,3,1,3,2,2,2,2,3,3,2,3
SubcorticalSubtypeStage1,0,0,0,0,0,1,0,0,0,0,0,0,0
SubcorticalSubtypeStage2,0.99895,0,0,0.00105,0,1,0,0,0,0,0,0,0
SubcorticalSubtypeStage3,1.90741,0,0.00036,0.0231,0.00159,1,0.06754,0,0,0,0,0,0
SubcorticalSubtypeStage4,1.9806,0,0.06252,0.16144,0.01235,1,0.78309,0,0,0,0,0,0
SubcorticalSubtypeStage5,1.99517,0.00085,0.38288,0.33832,0.16159,1,1.12119,0,0,0,0,0,0
SubcorticalSubtypeStage6,2,0.00378,0.73664,0.42245,0.51734,1,1.31909,1.00E-05,0,0,0.00069,0,0
SubcorticalSubtypeStage7,2,0.0073,1.02245,0.47527,1.02772,1.00119,1.45507,0.00041,0,0,0.01059,0,0
SubcorticalSubtypeStage8,2,0.01969,1.29523,0.52717,1.4771,1.00266,1.59049,0.00871,0.00569,0,0.0724,0,0.00086
SubcorticalSubtypeStage9,2,0.06293,1.50449,0.56521,1.80796,1.00314,1.68995,0.03409,0.01215,0,0.3125,0,0.00758
SubcorticalSubtypeStage10,2.0002,0.13333,1.69677,0.5936,2.03512,1.0049,1.75229,0.08029,0.02068,0,0.6696,0,0.01322
SubcorticalSubtypeStage11,2.00028,0.24383,1.81767,0.61766,2.23215,1.00739,1.79493,0.16874,0.0388,0.00373,1.04914,0,0.02568
SubcorticalSubtypeStage12,2.00118,0.35324,1.89548,0.64708,2.38762,1.01068,1.84829,0.31999,0.06126,0.00962,1.41559,0,0.04997
SubcorticalSubtypeStage13,2.00118,0.48528,1.9499,0.66599,2.53831,1.0186,1.89652,0.52208,0.11947,0.01533,1.70028,0,0.08706
SubcorticalSubtypeStage14,2.00118,0.61064,1.99426,0.68427,2.67281,1.03182,1.93549,0.74476,0.20079,0.02853,1.94116,0,0.15429
SubcorticalSubtypeStage15,2.00185,0.74718,2.04037,0.70551,2.78295,1.0607,1.95461,0.95504,0.32623,0.05793,2.10545,0,0.26218
SubcorticalSubtypeStage16,2.00518,0.86871,2.10502,0.72763,2.84956,1.09456,1.96596,1.11178,0.47565,0.11019,2.27322,0,0.41254
SubcorticalSubtypeStage17,2.01061,0.98993,2.18741,0.75564,2.8998,1.13011,1.97298,1.22582,0.63189,0.1862,2.42194,0,0.58767
SubcorticalSubtypeStage18,2.01683,1.10435,2.27858,0.77666,2.93256,1.16202,1.98121,1.31822,0.78248,0.29326,2.56182,0,0.79201
SubcorticalSubtypeStage19,2.02752,1.21734,2.36384,0.80152,2.95074,1.20402,1.98642,1.41416,0.92065,0.44819,2.67537,0.00044,0.98979
SubcorticalSubtypeStage20,2.0504,1.3322,2.44206,0.82763,2.96545,1.24716,1.99178,1.49166,1.05461,0.62251,2.76269,0.00228,1.20957
SubcorticalSubtypeStage21,2.0769,1.45173,2.50896,0.85609,2.98169,1.30535,1.99633,1.5596,1.18785,0.82003,2.81903,0.01022,1.42622
SubcorticalSubtypeStage22,2.11182,1.55813,2.58502,0.8867,2.99084,1.37025,1.99817,1.61567,1.30315,1.03433,2.85965,0.02818,1.65809
SubcorticalSubtypeStage23,2.15723,1.66524,2.64575,0.91645,2.99541,1.43079,1.99927,1.6594,1.42306,1.27435,2.89537,0.06135,1.87633
SubcorticalSubtypeStage24,2.21802,1.74314,2.70382,0.93732,2.99837,1.50388,1.99981,1.70586,1.54814,1.51215,2.92563,0.10702,2.09684
SubcorticalSubtypeStage25,2.28665,1.81003,2.7699,0.95795,3,1.5867,2,1.75299,1.64421,1.75579,2.94673,0.17963,2.30942
SubcorticalSubtypeStage26,2.38009,1.85746,2.81915,0.97214,3,1.67969,2,1.79417,1.7226,2.01926,2.96325,0.29561,2.49658
SubcorticalSubtypeStage27,2.50219,1.89379,2.87014,0.97898,3,1.7543,2,1.83677,1.79891,2.26267,2.97344,0.47943,2.64938
SubcorticalSubtypeStage28,2.6276,1.92249,2.91426,0.98851,3,1.82208,2,1.87887,1.85829,2.48839,2.98093,0.75124,2.76734
SubcorticalSubtypeStage29,2.75406,1.94918,2.95098,0.99353,3,1.89004,2,1.91343,1.92323,2.68362,2.99144,1.09191,2.85858
SubcorticalSubtypeStage30,2.86393,1.9713,2.97821,0.9978,3,1.94958,2,1.95824,1.97095,2.84533,2.99472,1.53289,2.93705
SubcorticalSubtypeStage31,3,2,3,1,3,2,2,2,2,3,3,2,3
